brand_name,ingredient_formula,price_usd,product_labels,product_name,ratings
WholeHearted,"Chicken Broth, Chicken, Tapioca Starch, Natural Flavor, Vitamin E Supplement.",1.82,Natural Cat Treats,"WholeHearted Chicken Recipe Puree Squeezable Cat Treats, 0.5 oz., Count of 4",4.6
WholeHearted,"Salmon, Potato, Oatmeal, Maple Syrup, Vegetable Glycerin, Gelatin, Ascorbic Acid (preservative), Citric Acid (preservative), Lecithin, Mixed Tocopherols (preservative), Vitamin A Palmitate, Riboflavin (source of Vitamin B2), Pyridoxine Hydrochloride (source of Vitamin B6), Vitamin B12 Supplement, Ascrorbic Acid (Vitamin C), Cholecalciferol (source of Vitamin D3), d-Alpha Tocopherols (source of Vitamin E), Rosemary Extract.",3.29,Natural Cat Treats,"WholeHearted Savory & Tasty Soft Cat Treats - Salmon Recipe, 3 OZ",3.5
Greenies,"Chicken Meal, Animal Fat (Preserved with Mixed Tocopherols), Brewers Rice, Ground Whole Wheat, Wheat Flour, Animal Plasma, Powdered Cellulose, Natural Flavor, Dried Plain Beet Pulp, Brewers Dried Yeast, Fruit Juice Color, Potassium Chloride, Choline Chloride, Dicalcium Phosphate, Salt, Taurine, DL-Methionine, Calcium Carbonate, Vitamin E Supplement, Zinc Sulfate, Mixed Tocopherols (preservative), Natural Tuna Flavor, Turmeric Color, Citric Acid, Ferrous Sulfate, Copper Sulfate, Vitamin A Supplement, Niacin Supplement, Vitamin B12 Supplement, Riboflavin Supplement (Vitamin B2), Rosemary Extract, Manganese Sulfate, Thiamine Mononitrate (Vitamin B1), D-Calcium Pantothenate (Vitamin B5), Pyridoxine Hydrochloride (Vitamin B6), Vitamin D3 Supplement, Biotin, Potassium Iodide, Folic Acid.",19.98,Crunchy Cat Treats,"Greenies Smartbites Healthy Indoor Tuna Flavor Natural Treats For Cats, 16 oz.",4.8
Inaba,"Chicken: Water, Chicken, Tapioca Starch, Natural Flavors, Natural Scallop Flavor, Guar Gum, Vitamin E Supplement, Taurine, Green Tea Extract. Chicken with Cheese: Water, Chicken, Cheese (Milk, Water, Phosphoric acid), Tapioca Starch, Natural Flavors, Natural Chicken Flavor, Guar Gum, Vitamin E Supplement, Taurine, Green Tea Extract. Chicken with Scallop: Water, Chicken, Tapioca Starch, Scallop, Natural Flavors, Natural Scallop Flavor, Guar Gum, Vitamin E Supplement, Taurine, Green Tea Extract. Chicken with Shrimp: Water, Chicken, Tapioca Starch, Natural Flavors, Guar Gum, Natural Shrimp Flavor, Vitamin E Supplement, Taurine, Green Tea Extract.",31.19,Soft & Chewy Cat Treats,"Inaba Churu Chicken Variety Pack Cat Treats, 25 oz., Count of 50",4.9
Leaps & Bounds,Not Provided,5.99,Catnip & Cat Grass,"Leaps & Bounds Safari Mice Cat Toys with Catnip, Pack of 3",4.5
Blue Buffalo,"Deboned Chicken, Chicken Meal, Chicken Fat, Brown Rice, Barley, Tapioca Starch, Oatmeal, Peas, Natural Flavor, Brewers Dried Yeast, Pork Fat, Dried Whey, Lecithin, preserved with Citric Acid and Mixed Tocopherols, Dried Cultured Whey, Glucono-Delta-Lactone, Potassium Chloride, Yeast Extract, DL-Methionine, Taurine, Oil of Rosemary.",8.98,Crunchy Cat Treats,"Blue Buffalo Bursts Feline Chicken Flavour Cat Treats, 12 oz.",4.8
Wellness,"Deboned Chicken, Chicken Meal, Potatoes, Chickpeas, Peas, Whitefish Meal, Cranberries, Blueberries, Chicken Fat (preserved with Mixed Tocopherols), Natural Flavor, Ground Flaxseed, Salmon Oil, Rosemary Extract, Green Tea Extract.",2.37,Cat Treats,"Wellness Kittles Crunchy Natural Grain Free Chicken & Cranberry Cat Treats, 2 oz",4.7
Leaps & Bounds,Not Provided,4.99,Catnip & Cat Grass,Leaps & Bounds Little Paws Teething Mouse Kitten Toy with Catnip,3.8
PureBites,"Chicken, water, tapioca starch, sunflower oil, tuna oil.",2.19,Cat Food Pouches,"PureBites Squeezable Skin & Coat Creamy Cat Treats, 2.5 oz.",4.9
Blue Buffalo,"Deboned Salmon, Brown Rice, Tuna Meal, Barley, Pork Fat, Tapioca Starch, Oatmeal, Salmon Meal, Natural Flavor, Deboned Cod, Peas, Shrimp, Canola Oil, Brewers Dried Yeast, Dried Whey, Lecithin, preserved with Citric Acid and Mixed Tocopherols, Dried Cultured Whey, Glucono-Delta-Lactone, Potassium Chloride, Yeast Extract, DL-Methionine, Taurine, Oil of Rosemary.",8.98,Crunchy Cat Treats,"Blue Buffalo Bursts Feline Seafood Flavour Cat Treats, 12 oz.",4.8
